apps/dataent/dataent/core/doctype/doctype/doctype.py +547,Default for 'Check' type of field must be either '0' or '1',"oletus tai ""täppäisyn"" tyyppi kentässä on oltava joko ""0"" tai ""1"""
apps/dataent/dataent/public/js/dataent/misc/pretty_date.js +51,Yesterday,Eilen
DocType: Contact,Designation,Puhuttelu
DocType: Test Runner,Test Runner,Testi Runner
DocType: Auto Repeat,Monthly,Kuukausi
DocType: Address,Uttarakhand,Uttarakhand
DocType: Email Account,Enable Incoming,aktivoi saapuva
apps/dataent/dataent/core/doctype/version/version_view.html +47,Danger,Vaara
apps/dataent/dataent/www/login.html +21,Email Address,Sähköpostiosoite
DocType: Workflow State,th-large,th-iso
DocType: Communication,Unread Notification Sent,Lukematon Ilmoitus lähetetty
apps/dataent/dataent/public/js/dataent/misc/tools.js +10,Export not allowed. You need {0} role to export.,"vienti kielletty, tarvitset {0} rooli vientiin"
DocType: System Settings,In seconds,Sekunneissa
apps/dataent/dataent/public/js/dataent/list/list_view.js +998,Cancel {0} documents?,Peruuta {0} asiakirjoja?
DocType: DocType,Is Published Field,Julkaistaan Field
DocType: GCalendar Settings,GCalendar Settings,GCalendar-asetukset
DocType: Email Group,Email Group,Sähköposti Group
DocType: Note,Seen By,Nähnyt
apps/dataent/dataent/public/js/dataent/form/grid.js +69,Add Multiple,Lisää useita
apps/dataent/dataent/core/doctype/user/user.py +87,Not a valid User Image.,Ei kelvollinen käyttäjäkuva.
DocType: Success Action,First Success Message,Ensimmäinen menestysviesti
apps/dataent/dataent/public/js/dataent/ui/filters/filter.js +13,Not Like,ei niinkuin
apps/dataent/dataent/custom/doctype/customize_form/customize_form.js +214,Set the display label for the field,Aseta kentän näyttönimike
apps/dataent/dataent/model/document.py +1083,Incorrect value: {0} must be {1} {2},virheellinen arvo : {0} täytyy olla {1} {2}
apps/dataent/dataent/config/setup.py +237,"Change field properties (hide, readonly, permission etc.)","muuta kentän ominaisuuksia (piilota, vain luku, oikeus jne)"
DocType: Workflow State,lock,lukko
apps/dataent/dataent/config/website.py +78,Settings for Contact Us Page.,Yhteystiedot sivuston asetukset
apps/dataent/dataent/core/doctype/user/user.py +916,Administrator Logged In,ylläpitäjä kirjautunut
DocType: Contact Us Settings,"Contact options, like ""Sales Query, Support Query"" etc each on a new line or separated by commas.","Yhteystietojen vaihtoehtomääritykset, kuten ""myyntikysely, tukikysely"" jne jokainen omalla rivillä tai pilkulla erotettuna."
apps/dataent/dataent/public/js/dataent/ui/tag_editor.js +34,Add a tag ...,Lisää tagi ...
apps/dataent/dataent/desk/doctype/auto_repeat/auto_repeat.py +276,New {0}: #{1},Uusi {0}: # {1}
DocType: Data Migration Run,Insert,aseta
apps/dataent/dataent/public/js/dataent/form/link_selector.js +22,Select {0},Valitse {0}
apps/dataent/dataent/integrations/doctype/social_login_key/social_login_key.py +24,Please enter Base URL,Anna Base-URL-osoite
DocType: Auto Repeat,Repeat on Day,Toista päivällä
DocType: DocField,Color,väri
DocType: Data Migration Run,Log,Loki
DocType: Workflow State,indent-right,luetelmakohta-oikeus
DocType: Has Role,Has Role,on rooli
DocType: System Settings,Time in seconds to retain QR code image on server. Min:<strong>240</strong>,Aika sekunneissa säilyttää QR-kuvatiedosto palvelimella. Min: <strong>240</strong>
apps/dataent/dataent/public/js/dataent/views/inbox/inbox_view.js +20,Invalid Email Account,Virheellinen sähköpostitili
apps/dataent/dataent/public/js/dataent/ui/upload.html +12,Web Link,Verkkosivu linkki
DocType: Deleted Document,Restored,palautettu
apps/dataent/dataent/public/js/dataent/misc/pretty_date.js +47,1 minute ago,1 minuutti sitten
apps/dataent/dataent/core/page/permission_manager/permission_manager_help.html +36,"Apart from System Manager, roles with Set User Permissions right can set permissions for other users for that Document Type.",Rooleilla joilla on oikeus muokata käyttäjän oikeuksia voivat asettaa oikeuksia muille  käyttäjille (paitsi järjestelmänhaltijalle) tällä Dokumenttityypillä.
DocType: Company History,Company History,yrityksen historia
apps/dataent/dataent/website/doctype/portal_settings/portal_settings.js +19,Reset,Palauta oletukset
DocType: Workflow State,volume-up,volyymi-ylös
apps/dataent/dataent/config/integrations.py +78,Webhooks calling API requests into web apps,Webhooks kutsuu API-pyyntöjä web-sovelluksiin
DocType: DocType,Default Print Format,oletus tulostusmuoto
DocType: Workflow State,Tags,Tagit
apps/dataent/dataent/public/js/dataent/form/workflow.js +35,None: End of Workflow,Ei mitään: työketjun loppu
apps/dataent/dataent/model/db_schema.py +357,"{0} field cannot be set as unique in {1}, as there are non-unique existing values","{0} kenttää ei voi asettaa ainutlaatuiseksi {1}, sillä ei-ainutlaatuisia arvoja on olemassa"
apps/dataent/dataent/core/page/permission_manager/permission_manager.js +48,Document Types,Dokumentin tyypit
DocType: Address,Jammu and Kashmir,Jammun ja Kashmirin
DocType: Workflow,Workflow State Field,Työnketjun vaiheen kenttä
apps/dataent/dataent/website/doctype/web_form/templates/web_form.html +59,Please sign-up or login to begin,Ole hyvä sign-up tai kirjaudu aloittaa
DocType: Blog Post,Guest,vieras
DocType: DocType,Title Field,Otsikkokenttä
DocType: Error Log,Error Log,error Log
apps/dataent/dataent/utils/password_strength.py +108,"Repeats like ""abcabcabc"" are only slightly harder to guess than ""abc""",Toistot kuten &quot;abcabcabc&quot; on vain hieman vaikeampi arvata kuin &quot;abc&quot;
DocType: Notification,Channel,kanava
apps/dataent/dataent/templates/emails/administrator_logged_in.html +3,"If you think this is unauthorized, please change the Administrator password.",vaihda järjestelmänvalvojan salasana mikäli luulet tämän olevan oikeuttamaton
apps/dataent/dataent/email/doctype/email_account/email_account.py +80,{0} is mandatory,{0} on pakollinen
DocType: Workflow State,eject,laukaise
apps/dataent/dataent/public/js/legacy/client_script_helpers.js +300,Field {0} not found.,Kenttä {0} ei löytynyt.
DocType: Chat Room,Owner,Omistaja
DocType: Communication,Visit,Vierailu
DocType: LDAP Settings,LDAP Search String,LDAP Hakumerkkijono
DocType: Translation,Translation,Käännös
apps/dataent/dataent/desk/page/setup_wizard/install_fixtures.py +16,Mr,Mr
DocType: Custom Script,Client,asiakas
apps/dataent/dataent/public/js/dataent/views/reports/report_view.js +214,Select Column,Valitse sarake
apps/dataent/dataent/public/js/legacy/form.js +476,This form has been modified after you have loaded it,"Tämä lomake on muutettu sen jälkeen, kun olet ladannut sen"
DocType: User Permission for Page and Report,User Permission for Page and Report,Käyttöoikeus Page ja Raportti
DocType: Address,Himachal Pradesh,Himachal Pradesh
DocType: System Settings,"If not set, the currency precision will depend on number format","Jos ei ole asetettu, valuutta tarkkuus riippuu lukumuotoa"
apps/dataent/dataent/integrations/doctype/stripe_settings/stripe_settings.py +72,"It seems that there is an issue with the server's stripe configuration. In case of failure, the amount will get refunded to your account.","Näyttää siltä, että palvelimen raidakokoonpano on ongelma. Vahingossa summa palautetaan tilillesi."
DocType: Data Import,Import Log,tuo loki
apps/dataent/dataent/config/website.py +27,Embed image slideshows in website pages.,upota kuvien diaesitys verkkosivustoon
apps/dataent/dataent/email/doctype/newsletter/newsletter.js +9,Send,Lähetä
DocType: Workflow Action Master,Workflow Action Name,Työketjun toiminnon nimi
apps/dataent/dataent/core/doctype/doctype/doctype.py +342,DocType can not be merged,tietuetyyppiä ei voi yhdistää
DocType: Web Form Field,Fieldtype,Kenttätyyppi
apps/dataent/dataent/core/doctype/file/file.py +270,Not a zip file,Ei zip-tiedosto
DocType: Auto Repeat,"To add dynamic subject, use jinja tags like

<div><pre><code>New {{ doc.doctype }} #{{ doc.name }}</code></pre></div>",Voit lisätä dynaamisen aiheen käyttämällä jinja-tunnisteita <div><pre> <code>New {{ doc.doctype }} #{{ doc.name }}</code> </pre> </div>
apps/dataent/dataent/public/js/dataent/form/save.js +147,"Mandatory fields required in table {0}, Row {1}",Syötä pakolliset kentät taulukossa {0} rivillä {1}
apps/dataent/dataent/utils/password_strength.py +196,Capitalization doesn't help very much.,Isot ei auta kovin paljon.
DocType: Error Snapshot,Friendly Title,Ystävällinen Otsikko
DocType: Newsletter,Email Sent?,sähköposti lähetetty?
apps/dataent/dataent/public/js/dataent/views/reports/report_view.js +966,Toggle Chart,Vaihda kaavioita
apps/dataent/dataent/desk/form/save.py +50,Did not cancel,ei ole peruutettu
DocType: Social Login Key,Client Information,Asiakastiedot
DocType: Workflow State,plus,plus
apps/dataent/dataent/integrations/oauth2.py +118,Logged in as Guest or Administrator,Kirjautunut sisään Vieraiden tai Ylläpitäjä
DocType: Email Account,UNSEEN,UNSEEN
apps/dataent/dataent/public/js/dataent/views/file/file_view.js +38,File Manager,Tiedostonhallinta
DocType: GCalendar Account,Refresh Token,Päivitä Token
DocType: Address,Goa,Goa
DocType: Webhook,Doc Event,Doc-tapahtuma
apps/dataent/dataent/public/js/dataent/misc/user.js +58,You,Sinä
DocType: Braintree Settings,Braintree Settings,Braintree-asetukset
DocType: Website Theme,lowercase,pieniä
apps/dataent/dataent/public/js/dataent/list/list_filter.js +22,Save Filter,Tallenna suodatin
DocType: Print Format,Helvetica,helvetica
apps/dataent/dataent/public/js/dataent/list/bulk_operations.js +82,Cannot delete {0},Ei voida poistaa {0}
apps/dataent/dataent/public/js/dataent/ui/filters/edit_filter.html +20,Not Ancestors Of,Ei esivanhempia
DocType: Address,Jharkhand,Jharkhand
apps/dataent/dataent/email/doctype/newsletter/newsletter.py +40,Newsletter has already been sent,Uutiskirje on jo lähetetty
apps/dataent/dataent/twofactor.py +129,"Login session expired, refresh page to retry","Istuntosi on vanhentunut, lataa sivu uudelleen"
DocType: Communication,BCC,BCC
DocType: Unhandled Email,Reason,Syy
DocType: Email Unsubscribe,Email Unsubscribe,sähköposti peruuutus
DocType: Website Settings,Select an image of approx width 150px with a transparent background for best results.,Saadaksesi parhaan tuloksen valitse n.150px leveä kuva läpinäkyvällä taustalla
apps/dataent/dataent/www/third_party_apps.html +3,Third Party Apps,Kolmannen osapuolen sovellukset
apps/dataent/dataent/desk/page/setup_wizard/setup_wizard.js +426,The first user will become the System Manager (you can change this later).,Ensimmäisestä käyttäjästä tulee järjestelmän pääkäyttäjä (voit muuttaa asetusta myöhemmin)
apps/dataent/dataent/integrations/doctype/webhook/webhook.py +29,DocType must be Submittable for the selected Doc Event,DocType: n on oltava Submittable valitulle Doc-tapahtumalle
,App Installer,App Installer
DocType: Workflow State,circle-arrow-up,kierrä-nuoli-ylös
DocType: Email Domain,Email Domain,Sähköpostin verkkotunnus
DocType: Workflow State,italic,kursiivi-
apps/dataent/dataent/core/doctype/doctype/doctype.py +806,{0}: Cannot set Import without Create,{0}: ei voi tuoda ellei sitä luoda
DocType: SMS Settings,Enter url parameter for message,syötä url parametrin viesti
apps/dataent/dataent/templates/emails/auto_email_report.html +50,View report in your browser,Näytä raportti selaimessasi
apps/dataent/dataent/config/desk.py +26,Event and other calendars.,Tapahtuma ja muut kalentereita.
apps/dataent/dataent/templates/includes/comments/comments.html +96,All fields are necessary to submit the comment.,"Vahvistaaksesi kommentti, kaikki pakkolliset kentät on täytettävä."
DocType: Print Settings,Printer Name,Tulostimen nimi
apps/dataent/dataent/public/js/dataent/views/reports/reportview.js +865,Drag to sort columns,siirrä muokataksesi sarakkeita
apps/dataent/dataent/printing/page/print_format_builder/print_format_builder_column_selector.html +2,Widths can be set in px or %.,Leveydet voidaan asettaa px:na tai %:na
apps/dataent/dataent/public/js/dataent/form/print.js +102,Start,alku
DocType: Contact,First Name,Etunimi
DocType: LDAP Settings,LDAP Username Field,LDAP Käyttäjätunnus Field
DocType: Portal Settings,Standard Sidebar Menu,Standard sivupalkki Menu
apps/dataent/dataent/core/doctype/file/file.py +184,Cannot delete Home and Attachments folders,Koti- ja Liitteet- kansioita ei voida poistaa
apps/dataent/dataent/config/desk.py +19,Files,Tiedostoliitteet
apps/dataent/dataent/core/page/permission_manager/permission_manager_help.html +6,Permissions get applied on Users based on what Roles they are assigned.,Käyttäjän käyttöoikeudet perustuu nimettyihin rooleihin
apps/dataent/dataent/public/js/dataent/views/communication.js +529,You are not allowed to send emails related to this document,"Et voi lähettää sähköposteja, jotka liittyvät tähän dokumenttiin"
apps/dataent/dataent/model/db_query.py +593,Please select atleast 1 column from {0} to sort/group,Valitse atleast 1 sarake {0} lajitella / ryhmä
DocType: PayPal Settings,Check this if you are testing your payment using the Sandbox API,Valitse tämä jos testaat maksun avulla Sandbox API
apps/dataent/dataent/website/doctype/website_theme/website_theme.py +30,You are not allowed to delete a standard Website Theme,Verkkosivuston perusteemaa ei voi poistaa
DocType: Data Import,Log Details,Lokitiedot
DocType: Feedback Trigger,Example,esimerkki
DocType: Webhook Header,Webhook Header,Webhook Header
DocType: Print Settings,Print Server,Tulostuspalvelin
DocType: Workflow State,gift,lahja
DocType: Workflow Action,Completed By,Täydentänyt
apps/dataent/dataent/custom/doctype/customize_form/customize_form.js +240,Reqd,Reqd
apps/dataent/dataent/core/doctype/communication/email.py +293,Unable to find attachment {0},Ei löydy liitetiedostoa {0}
apps/dataent/dataent/custom/doctype/customize_form/customize_form.js +228,Assign a permission level to the field.,nimeä käyttöoikeus kentälle
apps/dataent/dataent/core/page/permission_manager/permission_manager.py +91,Cannot Remove,Ei voi poistaa
apps/dataent/dataent/public/js/dataent/request.js +109,The resource you are looking for is not available,Etsimäsi resurssi ei ole saatavilla
DocType: Chat Profile,Chat Background,Chat-tausta
apps/dataent/dataent/core/doctype/communication/communication_list.js +14,Mark as Read,Merkitse luetuksi
apps/dataent/dataent/desk/doctype/bulk_update/bulk_update.py +54,Updating {0},Päivitys {0}
apps/dataent/dataent/core/doctype/report/report.js +37,Disable Report,poista raportti käytöstä
DocType: Website Theme,Apply Text Styles,Käytä Text Styles
apps/dataent/dataent/www/feedback.html +34,Detailed feedback,yksityiskohtainen palaute
DocType: PayPal Settings,Redirect To,uudelleenohjata
DocType: Data Migration Mapping,Pull,Vedä
DocType: Report,JavaScript Format: dataent.query_reports['REPORTNAME'] = {},formaatti JavaScript: dataent.query_reports ['raportin_nimi'] = {}
DocType: Bulk Update,Bulk Update,Joukkopäivitä
DocType: Workflow State,chevron-up,välimerkki-ylös
DocType: DocType,Allow Guest to View,Salli Vieras View
apps/dataent/dataent/public/js/dataent/ui/toolbar/navbar.html +65,Documentation,Dokumentaatio
DocType: Webhook,on_change,on_change
apps/dataent/dataent/public/js/dataent/list/list_view.js +985,Delete {0} items permanently?,Poista {0} kohdetta pysyvästi?
apps/dataent/dataent/core/doctype/user/user.py +106,Not Allowed,Ei sallittu
DocType: DocShare,Internal record of document shares,sisäinen tietue asiakirjojen jaosta
DocType: Workflow State,Comment,Kommentti
DocType: Data Migration Plan,Postprocess Method,Jälkiprosessimenetelmä
apps/dataent/dataent/public/js/dataent/ui/capture.js +196,Take Photo,Ota valokuva
apps/dataent/dataent/core/page/permission_manager/permission_manager_help.html +17,"You can change Submitted documents by cancelling them and then, amending them.",Vahvistetun dokumentin muokkaus onnistuu ensin perumalla dokumentti ja sitten korjaamalla se.
DocType: Data Import,Update records,Päivitä tietueet
apps/dataent/dataent/data_migration/doctype/data_migration_connector/data_migration_connector.py +22,Invalid module path,Virheellinen moduulin polku
DocType: DocField,Display,näyttö
DocType: Email Group,Total Subscribers,alihankkijat yhteensä
apps/dataent/dataent/core/page/permission_manager/permission_manager_help.html +25,"If a Role does not have access at Level 0, then higher levels are meaningless.","ellei roolilla ole oikeutta tasolle 0, niin korkeammat tasot eivät vaikuta"
apps/dataent/dataent/public/js/dataent/views/reports/reportview.js +749,Save As,Tallenna nimellä
DocType: Communication,Seen,Nähty
apps/dataent/dataent/public/js/dataent/form/layout.js +162,Show more details,Näytä enemmän lisätietoja
DocType: System Settings,Run scheduled jobs only if checked,käytä aikataulutettuja töitä täpättynä
apps/dataent/dataent/printing/page/print_format_builder/print_format_builder.js +408,Will only be shown if section headings are enabled,"Näytetään vain, jos otsikoiden ovat käytössä"
apps/dataent/dataent/public/js/dataent/views/kanban/kanban_column.html +9,Archive,Archive
apps/dataent/dataent/public/js/dataent/socketio_client.js +357,File Upload,Tiedoston lataus
DocType: Activity Log,Message,Viesti
DocType: Communication,Rating,luokitus
DocType: Customize Form Field,"Print Width of the field, if the field is a column in a table","Tulosta leveys kentän, jos kenttä on sarake taulukon"
DocType: Dropbox Settings,Dropbox Access Key,Dropbox pääsy tunnus
apps/dataent/dataent/desk/form/utils.py +50,Wrong fieldname <b>{0}</b> in add_fetch configuration of custom script,Virheellinen kentänimi <b>{0}</b> mukautetun komentosarjan add_fetch-kokoonpanossa
DocType: Workflow State,headphones,kuulokkeet
apps/dataent/dataent/email/doctype/email_account/email_account.py +76,Password is required or select Awaiting Password,Tarvitaan salasana tai valitse Odotetaan salasana
DocType: Email Account,e.g. replies@yourcomany.com. All replies will come to this inbox.,"esim, vastaukset@yourcomany.com, kaikki vastaukset saapuvat tähän postilaatikkoon"
DocType: Slack Webhook URL,Slack Webhook URL,Löysä Webhook URL
DocType: Data Migration Run,Current Mapping,Nykyinen kartoitus
apps/dataent/dataent/templates/includes/login/login.js +39,Valid email and name required,Kelvollinen sähköposti ja nimi vaaditaan
DocType: DocType,Hide Heading,piilota otsikko
DocType: Address,Current,nykyinen
apps/dataent/dataent/config/core.py +17,Groups of DocTypes,Tietuetyyppiryhmät
apps/dataent/dataent/config/integrations.py +93,Google Maps integration,Google Mapsin integrointi
DocType: Auto Email Report,XLSX,XLSX
apps/dataent/dataent/templates/emails/password_reset.html +3,Reset your password,Nollaa salasana
apps/dataent/dataent/public/js/dataent/views/calendar/calendar.js +150,Show Weekends,Näytä viikonloput
DocType: Workflow State,remove-circle,poista-ympyrä
DocType: Help Article,Beginner,Aloittelija
DocType: Contact,Is Primary Contact,ensisijainen yhteystieto
apps/dataent/dataent/config/website.py +68,Javascript to append to the head section of the page.,Javascript liittää pään osioon.
apps/dataent/dataent/www/printview.py +80,Not allowed to print draft documents,Ei sallittu tulostaa asiakirjaluonnokset
apps/dataent/dataent/core/doctype/role_permission_for_page_and_report/role_permission_for_page_and_report.js +12,Reset to defaults,Palauta oletukset
DocType: Workflow,Transition Rules,siirto säännöt
apps/dataent/dataent/core/doctype/report/report.js +11,Example:,esimerkki:
DocType: Workflow,Defines workflow states and rules for a document.,Määrittää dokumentille työketjun vaiheet ja säännöt.
DocType: Workflow State,Filter,Suodatin
apps/dataent/dataent/model/db_schema.py +596,Fieldname {0} cannot have special characters like {1},Kenttänimi {0} nimessä ei voi olla erikoismerkkejä kuten {1}
apps/dataent/dataent/config/setup.py +133,Update many values at one time.,Päivitä monet arvot kerralla.
apps/dataent/dataent/model/document.py +639,Error: Document has been modified after you have opened it,virhe: asiakirja on muutettu sen jälkeen kun olet avannut sen
apps/dataent/dataent/core/doctype/activity_log/feed.py +56,{0} logged out: {1},{0} kirjautui ulos: {1}
DocType: Address,West Bengal,Länsi-Bengal
apps/dataent/dataent/core/doctype/doctype/doctype.py +825,{0}: Cannot set Assign Submit if not Submittable,{0}: Ei voi asettaa vahvistetuksi ellei ole vahvistettavissa
DocType: Transaction Log,Row Index,Rivi-indeksi
DocType: Social Login Key,Facebook,Facebook
apps/dataent/dataent/www/list.py +41,"Filtered by ""{0}""","Suodatusperuste ""{0}"""
DocType: Salutation,Administrator,ylläpitäjä
DocType: Activity Log,Closed,suljettu
DocType: Blog Settings,Blog Title,Blogin otsikko
apps/dataent/dataent/core/doctype/role/role.py +20,Standard roles cannot be disabled,Vakioroolit ei voi poistaa käytöstä
apps/dataent/dataent/public/js/dataent/chat.js +1603,Chat Type,Chat-tyyppi
DocType: Address,Mizoram,Mizoram
DocType: Newsletter,Newsletter,Tiedote
apps/dataent/dataent/model/db_query.py +584,Cannot use sub-query in order by,Ei voi käyttää osa-kyselyn mukaisessa järjestyksessä
DocType: Web Form,Button Help,Painikkeen ohje
DocType: Kanban Board Column,purple,violetti
DocType: About Us Settings,Team Members,Tiimin jäsenet
apps/dataent/dataent/public/js/dataent/upload.js +246,Please attach a file or set a URL,Liitä tiedosto tai asettaa URL
DocType: Chat Message,System Manager,Järjestelmän ylläpitäjä
DocType: Custom DocPerm,Permissions,Oikeudet
apps/dataent/dataent/config/integrations.py +83,Slack Webhooks for internal integration,Hidas Webhooks sisäiseen integraatioon
DocType: Dropbox Settings,Allow Dropbox Access,salli Dropbox pääsy
apps/dataent/dataent/core/doctype/deleted_document/deleted_document.js +11,Restore,Palauttaa
DocType: Auto Repeat,Auto Repeat,Automaattinen toisto
DocType: Bulk Update,"SQL Conditions. Example: status=""Open""",SQL toimitusehdot. Esimerkki: status = &quot;Avaa&quot;
DocType: User,Get your globally recognized avatar from Gravatar.com,hanki maailmanlaajuisesti tunnustettu avatar gravatar.com:sta
apps/dataent/dataent/limits.py +32,"Your subscription expired on {0}. To renew, {1}.",Tilauksesi päättyi {0}. Uusimaan {1}.
DocType: Workflow State,plus-sign,plus-merkki
apps/dataent/dataent/__init__.py +994,App {0} is not installed,App {0} ei ole asennettu
DocType: Data Migration Plan,Mappings,kartoituksia
DocType: Notification Recipient,Notification Recipient,Ilmoituksen vastaanottaja
DocType: Workflow State,Refresh,Lataa uudelleen
DocType: Event,Public,Julkinen
apps/dataent/dataent/public/js/dataent/views/reports/query_report.js +703,Nothing to show,Ei mitään näytettävää
DocType: System Settings,Enable Two Factor Auth,Ota käyttöön kaksi tekijän tunnusta
apps/dataent/dataent/desk/doctype/auto_repeat/auto_repeat.py +294,[Urgent] Error while creating recurring %s for %s,[Kiireellinen] Virhe luodessasi toistuvaa% s: ta% s: lle
apps/dataent/dataent/public/js/dataent/model/model.js +24,Liked By,Tykkääjä(t)
DocType: DocField,Print Hide If No Value,Tulosta Piilota Jos Ei Arvo
DocType: Kanban Board Column,yellow,keltainen
apps/dataent/dataent/core/doctype/doctype/doctype.py +659,Is Published Field must be a valid fieldname,Julkaistaan Kenttä pitää olla kelvollinen fieldname
apps/dataent/dataent/public/js/dataent/upload.js +26,Upload Attachment,Tuo liite
DocType: Block Module,Block Module,estä moduuli
apps/dataent/dataent/core/doctype/version/version_view.html +14,New Value,uusi arvo
apps/dataent/dataent/public/js/dataent/views/reports/reportview.js +513,No permission to edit,Ei lupaa muokata
